Dataset,Fold,Model,Versao,MSE,MAE
a1,1,SVR,Original,504.82973931297363,14.81634583090368
a1,1,SVR,RO,696.318975024994,22.893205817652735
a1,1,SVR,Hardness-RO,635.9820695158523,16.25133209606079
a1,1,NNET,Original,892754.6440314006,311.0478901308047
a1,1,NNET,RO,3137932.1433068463,605.1024029252177
a1,1,NNET,Hardness-RO,5074159.217311303,710.2106005949381
a1,1,XGB,Original,355.485006496677,14.716183100938798
a1,1,XGB,RO,399.79727615820195,14.778176973089575
a1,1,XGB,Hardness-RO,467.2523151502552,14.456287165805696
a1,1,RF,Original,291.33542487500006,13.882875000000002
a1,1,RF,RO,519.9672490449096,17.833766714050938
a1,1,RF,Hardness-RO,328.0244936616051,13.501297105847675
a1,1,BAGGING,Original,404.00421250000005,16.07225
a1,1,BAGGING,RO,565.8180780317663,17.48804674427067
a1,1,BAGGING,Hardness-RO,316.6369217531957,12.748753755428073
a1,2,SVR,Original,389.51072426439407,13.982450562759954
a1,2,SVR,RO,894.5180952674873,26.325199196592546
a1,2,SVR,Hardness-RO,386.3352731705472,13.811101255347769
a1,2,NNET,Original,163567.14588888286,174.89299568242384
a1,2,NNET,RO,565071.8289184121,271.490876589247
a1,2,NNET,Hardness-RO,356687.9831791773,298.1029881847734
a1,2,XGB,Original,215.51325950824835,9.261867506504059
a1,2,XGB,RO,342.8535382700708,12.510247349143029
a1,2,XGB,Hardness-RO,288.4993866765499,11.973506518285722
a1,2,RF,Original,173.65282842499994,8.383574999999999
a1,2,RF,RO,378.5333282553617,14.369480776381483
a1,2,RF,Hardness-RO,224.455056836743,11.050931682690004
a1,2,BAGGING,Original,198.0488275,8.80775
a1,2,BAGGING,RO,480.94681073756726,14.032435001621241
a1,2,BAGGING,Hardness-RO,195.48383167243537,10.004333539366716
a1,3,SVR,Original,557.1358685771099,15.96189604742131
a1,3,SVR,RO,618.1236650103343,22.440216777319655
a1,3,SVR,Hardness-RO,562.1826913810343,16.041826209478508
a1,3,NNET,Original,448397.68641925754,204.7491316599105
a1,3,NNET,RO,554160.4169783841,229.9338083656531
a1,3,NNET,Hardness-RO,422574.96776872734,222.9276650000329
a1,3,XGB,Original,419.7031517996933,14.256956424117089
a1,3,XGB,RO,479.9559346683952,14.72993625447154
a1,3,XGB,Hardness-RO,381.2490694416275,12.905665842890738
a1,3,RF,Original,308.0646855250001,11.614625
a1,3,RF,RO,377.16334083503705,14.140357789150594
a1,3,RF,Hardness-RO,341.6643617130204,12.078119340151463
a1,3,BAGGING,Original,319.0374800000001,10.993
a1,3,BAGGING,RO,395.5632941216757,14.012097842693942
a1,3,BAGGING,Hardness-RO,407.1984329467091,13.382914711667507
a1,4,SVR,Original,223.81084519687806,11.055076777869711
a1,4,SVR,RO,882.5993169040137,26.411188862368036
a1,4,SVR,Hardness-RO,330.79071269401146,11.336403950062243
a1,4,NNET,Original,440446.2910847306,220.86931939167218
a1,4,NNET,RO,1639701.518670318,525.2268068274643
a1,4,NNET,Hardness-RO,488402.3756431641,237.44535794808536
a1,4,XGB,Original,229.33154264066098,10.116223703133754
a1,4,XGB,RO,214.3124878252767,9.5153875750991
a1,4,XGB,Hardness-RO,261.51861050943876,11.223353174710883
a1,4,RF,Original,142.28876707692316,8.321384615384614
a1,4,RF,RO,237.4022968218571,11.471442989105759
a1,4,RF,Hardness-RO,221.064696369573,10.562272805546343
a1,4,BAGGING,Original,184.0566333333333,9.228974358974357
a1,4,BAGGING,RO,221.2749541214539,10.666157656142886
a1,4,BAGGING,Hardness-RO,266.87577842063814,11.591693772106481
a1,5,SVR,Original,720.7554881309131,16.206738415247983
a1,5,SVR,RO,949.2714047818416,28.40448122867488
a1,5,SVR,Hardness-RO,813.1250577248599,17.53994805469849
a1,5,NNET,Original,353505.17185836955,216.04394548685494
a1,5,NNET,RO,900119.4994453284,420.81170557337566
a1,5,NNET,Hardness-RO,248282.27151974075,195.74035379470962
a1,5,XGB,Original,500.5943172804888,15.637222002714111
a1,5,XGB,RO,406.8991489151042,15.41444043012766
a1,5,XGB,Hardness-RO,535.3253047976866,16.63958276785337
a1,5,RF,Original,445.03460820512834,15.40174358974359
a1,5,RF,RO,416.90898006696074,15.692065220651456
a1,5,RF,Hardness-RO,523.8490927320905,16.89203828754773
a1,5,BAGGING,Original,461.0977589743589,14.916410256410257
a1,5,BAGGING,RO,457.7829213207909,16.785622432345633
a1,5,BAGGING,Hardness-RO,553.5669165323561,16.721417958162743
a2,1,SVR,Original,92.67689986070235,6.247591649358182
a2,1,SVR,RO,133.21816125054121,10.52683644697122
a2,1,SVR,Hardness-RO,89.35847227787156,7.842697796666505
a2,1,NNET,Original,4352306.484361678,672.5128148747377
a2,1,NNET,RO,9513448.754125753,877.6391044050131
a2,1,NNET,Hardness-RO,2226609.1482411455,472.16074037367736
a2,1,XGB,Original,67.00842634699099,5.8542748628556724
a2,1,XGB,RO,70.85309830554073,6.846085843816399
a2,1,XGB,Hardness-RO,96.9928300223399,7.5535306470096115
a2,1,RF,Original,57.54820804999997,5.629849999999999
a2,1,RF,RO,56.51416136001545,6.452544019890587
a2,1,RF,Hardness-RO,72.97172047202457,7.012080786118963
a2,1,BAGGING,Original,53.47116249999999,5.58425
a2,1,BAGGING,RO,68.77436886830597,7.012103414520311
a2,1,BAGGING,Hardness-RO,87.69875400637116,7.8102961663242025
a2,2,SVR,Original,314.3317497328059,9.926656818129231
a2,2,SVR,RO,309.7849690603801,13.577685501814068
a2,2,SVR,Hardness-RO,282.5117001307153,9.951515055185656
a2,2,NNET,Original,158887.13946851128,164.50344647424487
a2,2,NNET,RO,176308.66857476375,172.1778258846676
a2,2,NNET,Hardness-RO,392993.3305620405,226.46027696887467
a2,2,XGB,Original,290.1448080099001,10.379950196221468
a2,2,XGB,RO,272.16706139225414,10.402916584461927
a2,2,XGB,Hardness-RO,281.1087389771014,10.518513861596585
a2,2,RF,Original,252.25833997499998,9.649375
a2,2,RF,RO,249.41967064865008,10.294254304255618
a2,2,RF,Hardness-RO,271.5091978991615,10.629477582968136
a2,2,BAGGING,Original,285.95072,10.2245
a2,2,BAGGING,RO,254.28507287574303,10.782140368207353
a2,2,BAGGING,Hardness-RO,294.30326069983676,10.898039616029525
a2,3,SVR,Original,87.93681866881583,5.606579180120116
a2,3,SVR,RO,206.15143983409894,13.622455911210839
a2,3,SVR,Hardness-RO,87.19853120157995,6.513767614172616
a2,3,NNET,Original,444558.16033367196,199.37628138465845
a2,3,NNET,RO,753971.683208301,262.9241624809706
a2,3,NNET,Hardness-RO,468554.1167779657,217.3886737708279
a2,3,XGB,Original,66.59091683076795,5.167565211644396
a2,3,XGB,RO,116.96492539964433,8.237191008972005
a2,3,XGB,Hardness-RO,97.68641046965007,6.86939512193203
a2,3,RF,Original,64.838292225,5.7261750000000005
a2,3,RF,RO,115.6826768090103,8.297643893351145
a2,3,RF,Hardness-RO,85.74429581513382,7.263333432133382
a2,3,BAGGING,Original,74.22732749999999,5.95775
a2,3,BAGGING,RO,125.517749634231,8.233995178794443
a2,3,BAGGING,Hardness-RO,132.89129827783503,8.614772757834158
a2,4,SVR,Original,114.34380929248582,6.576418859316625
a2,4,SVR,RO,235.42362429775537,14.09175922014037
a2,4,SVR,Hardness-RO,124.04112703347154,9.58742149913369
a2,4,NNET,Original,388599.1629305604,209.05787406947678
a2,4,NNET,RO,213755.23300087525,192.88520413345535
a2,4,NNET,Hardness-RO,202632.82381115103,167.82745919030623
a2,4,XGB,Original,167.99529402972925,9.226354989256615
a2,4,XGB,RO,175.05337149240574,9.856792225287512
a2,4,XGB,Hardness-RO,205.86923073924177,11.323312374261711
a2,4,RF,Original,120.3830135897436,7.976000000000002
a2,4,RF,RO,159.61658847929988,9.549049717523998
a2,4,RF,Hardness-RO,172.13029953458923,10.718306576640531
a2,4,BAGGING,Original,135.9143846153846,8.26153846153846
a2,4,BAGGING,RO,175.69796622934095,10.079866312443526
a2,4,BAGGING,Hardness-RO,172.29936826612047,10.634674317474625
a2,5,SVR,Original,61.60748097025151,5.30217678081809
a2,5,SVR,RO,183.22993714223188,12.560101308822457
a2,5,SVR,Hardness-RO,51.8202461016298,5.8691979156126255
a2,5,NNET,Original,98243.76908656617,147.91538463019134
