Dataset,Fold,Model,Versao,MSE,MAE
a1,1,SVR,Original,504.82973931297363,14.81634583090368
a1,1,SVR,RO,387.0987375569037,15.686093152411791
a1,1,SVR,Hardness-RO,516.3495661993336,15.141520269469504
a1,1,NNET,Original,892754.6440314006,311.0478901308047
a1,1,NNET,RO,7256528.698229352,955.3379631602244
a1,1,NNET,Hardness-RO,2091701.955606009,500.4436968324282
a1,1,XGB,Original,355.485006496677,14.716183100938798
a1,1,XGB,RO,333.6464896916702,13.050587185919284
a1,1,XGB,Hardness-RO,338.2838050742173,14.039802675247193
a1,1,RF,Original,291.33542487500006,13.882875000000002
a1,1,RF,RO,322.88879810000014,14.5298
a1,1,RF,Hardness-RO,299.87343395000016,13.920250000000005
a1,1,BAGGING,Original,404.00421250000005,16.07225
a1,1,BAGGING,RO,432.45589500000006,16.7505
a1,1,BAGGING,Hardness-RO,337.3934525,14.15625
a1,2,SVR,Original,389.51072426439407,13.982450562759954
a1,2,SVR,RO,402.56694050152294,15.710223823915376
a1,2,SVR,Hardness-RO,382.4949610982414,13.931178018677759
a1,2,NNET,Original,163567.14588888286,174.89299568242384
a1,2,NNET,RO,299831.66277953837,250.6292422635028
a1,2,NNET,Hardness-RO,197005.74113027687,242.32658010074056
a1,2,XGB,Original,215.51325950824835,9.261867506504059
a1,2,XGB,RO,307.1607288368689,11.359663596749305
a1,2,XGB,Hardness-RO,182.44609809484427,8.612583631277085
a1,2,RF,Original,173.65282842499994,8.383574999999999
a1,2,RF,RO,199.72618355000006,9.695450000000003
a1,2,RF,Hardness-RO,176.41097062500003,9.317425
a1,2,BAGGING,Original,198.0488275,8.80775
a1,2,BAGGING,RO,264.75207750000004,10.85125
a1,2,BAGGING,Hardness-RO,189.29722500000003,8.963
a1,3,SVR,Original,557.1358685771099,15.96189604742131
a1,3,SVR,RO,429.0832173524988,15.898940730752509
a1,3,SVR,Hardness-RO,539.5551947440671,15.799272283547307
a1,3,NNET,Original,448397.68641925754,204.7491316599105
a1,3,NNET,RO,794185.3725512964,317.312202731432
a1,3,NNET,Hardness-RO,456301.4506786798,224.7142533514055
a1,3,XGB,Original,419.7031517996933,14.256956424117089
a1,3,XGB,RO,399.8749538882819,13.190258017852903
a1,3,XGB,Hardness-RO,324.2581919505269,12.017039679288864
a1,3,RF,Original,308.0646855250001,11.614625
a1,3,RF,RO,332.522617325,12.343124999999997
a1,3,RF,Hardness-RO,310.55218125000005,11.781949999999998
a1,3,BAGGING,Original,319.0374800000001,10.993
a1,3,BAGGING,RO,340.0322125,12.40775
a1,3,BAGGING,Hardness-RO,324.57715500000006,12.701
a1,4,SVR,Original,223.81084519687806,11.055076777869711
a1,4,SVR,RO,265.1316969486683,13.883024765973845
a1,4,SVR,Hardness-RO,244.9168623359421,10.83170165084677
a1,4,NNET,Original,440446.2910847306,220.86931939167218
a1,4,NNET,RO,566930.0170658154,324.256288585792
a1,4,NNET,Hardness-RO,1069248.8688652858,295.8923053050008
a1,4,XGB,Original,229.33154264066098,10.116223703133754
a1,4,XGB,RO,171.34175478400994,8.082000875778686
a1,4,XGB,Hardness-RO,195.46472216176204,9.451743930348984
a1,4,RF,Original,142.28876707692316,8.321384615384614
a1,4,RF,RO,169.9415131282051,8.937743589743592
a1,4,RF,Hardness-RO,144.95441194871788,8.364256410256408
a1,4,BAGGING,Original,184.0566333333333,9.228974358974357
a1,4,BAGGING,RO,192.76590000000002,7.878205128205129
a1,4,BAGGING,Hardness-RO,163.39685641025642,9.054871794871795
a1,5,SVR,Original,720.7554881309131,16.206738415247983
a1,5,SVR,RO,558.4762334545362,18.34051296930299
a1,5,SVR,Hardness-RO,726.9214697282156,16.635665687555324
a1,5,NNET,Original,353505.17185836955,216.04394548685494
a1,5,NNET,RO,149981.7158789908,201.85059976615116
a1,5,NNET,Hardness-RO,93810.79581486106,161.6291638273567
a1,5,XGB,Original,500.5943172804888,15.637222002714111
a1,5,XGB,RO,494.2939581965712,15.549125680556667
a1,5,XGB,Hardness-RO,425.511039697252,14.52600396229671
a1,5,RF,Original,445.03460820512834,15.40174358974359
