Dataset,Fold,Model,Versao,MSE,MAE
a1,1,SVR,Original,504.82973931297363,14.81634583090368
a1,1,SVR,RO,777.6990479338654,24.496299310214376
a1,1,SVR,Hardness-RO,661.9968026338086,16.435538343598832
a1,1,NNET,Original,892754.6440314006,311.0478901308047
a1,1,NNET,RO,1926473.2361537397,515.547666800772
a1,1,NNET,Hardness-RO,2247415.0991217634,554.3543928178915
a1,1,XGB,Original,355.485006496677,14.716183100938798
a1,1,XGB,RO,497.6124497483702,17.342457543062046
a1,1,XGB,Hardness-RO,626.8892454712491,16.30227903068066
a1,1,RF,Original,291.33542487500006,13.882875000000002
a1,1,RF,RO,504.3196756218522,19.045206546476557
a1,1,RF,Hardness-RO,392.3897273210126,14.090826883753314
a1,1,BAGGING,Original,404.00421250000005,16.07225
a1,1,BAGGING,RO,657.3531035500494,20.53885008684178
a1,1,BAGGING,Hardness-RO,445.86700000608,14.773861590608016
a1,2,SVR,Original,389.51072426439407,13.982450562759954
a1,2,SVR,RO,814.324678110744,24.82466536055032
a1,2,SVR,Hardness-RO,387.260924129902,14.001673215846125
a1,2,NNET,Original,163567.14588888286,174.89299568242384
a1,2,NNET,RO,1166958.556191289,407.1980150305355
a1,2,NNET,Hardness-RO,59641.6911313226,122.32736041715216
a1,2,XGB,Original,215.51325950824835,9.261867506504059
a1,2,XGB,RO,285.42082893015834,12.20467837393284
a1,2,XGB,Hardness-RO,195.0732962618002,9.872869881354273
a1,2,RF,Original,173.65282842499994,8.383574999999999
a1,2,RF,RO,250.91416348813794,11.767444822114632
a1,2,RF,Hardness-RO,181.69479732418046,9.215278860520337
a1,2,BAGGING,Original,198.0488275,8.80775
a1,2,BAGGING,RO,337.91990087262496,13.018487022029927
a1,2,BAGGING,Hardness-RO,185.43366697807352,9.090545364725141
a1,3,SVR,Original,557.1358685771099,15.96189604742131
a1,3,SVR,RO,635.0739970450744,22.566132470816047
a1,3,SVR,Hardness-RO,568.8878562923298,16.217817340741185
a1,3,NNET,Original,448397.68641925754,204.7491316599105
a1,3,NNET,RO,548199.8619642813,283.4935927455598
a1,3,NNET,Hardness-RO,346216.61353971285,188.94020160895144
a1,3,XGB,Original,419.7031517996933,14.256956424117089
a1,3,XGB,RO,502.83354518536925,15.924338241219521
a1,3,XGB,Hardness-RO,518.2718359207453,15.854865240752696
a1,3,RF,Original,308.0646855250001,11.614625
a1,3,RF,RO,430.21344480810393,15.248660393511116
a1,3,RF,Hardness-RO,414.4296544250002,13.889475000000001
a1,3,BAGGING,Original,319.0374800000001,10.993
a1,3,BAGGING,RO,531.9692887620316,17.59509924494838
a1,3,BAGGING,Hardness-RO,444.6743125,14.51575
a1,4,SVR,Original,223.81084519687806,11.055076777869711
a1,4,SVR,RO,780.0428990981277,24.5778692111786
a1,4,SVR,Hardness-RO,229.61617835973126,11.04841915856085
a1,4,NNET,Original,440446.2910847306,220.86931939167218
