Dataset,Fold,Model,Versao,MSE,MAE
a1,1,SVR,Original,504.82973931297363,14.81634583090368
a1,1,SVR,RO,383.4642577665785,15.49615122743493
a1,1,SVR,Hardness-RO,555.6736322852524,15.585450806864566
a1,1,NNET,Original,892754.6440314006,311.0478901308047
a1,1,NNET,RO,6131704.065459421,884.7730101569811
a1,1,NNET,Hardness-RO,3516705.2440299154,693.7951485864545
a1,1,XGB,Original,355.485006496677,14.716183100938798
a1,1,XGB,RO,325.8036824708667,13.296548364185437
a1,1,XGB,Hardness-RO,395.9938941683948,15.117282106876374
a1,1,RF,Original,291.33542487500006,13.882875000000002
a1,1,RF,RO,370.72389040000024,15.392900000000006
a1,1,RF,Hardness-RO,292.046532775,13.666575
a1,1,BAGGING,Original,404.00421250000005,16.07225
a1,1,BAGGING,RO,411.2762024999999,15.822249999999997
a1,1,BAGGING,Hardness-RO,312.9239550000001,13.5095
a1,2,SVR,Original,389.51072426439407,13.982450562759954
a1,2,SVR,RO,401.5746875487886,15.66917128488829
a1,2,SVR,Hardness-RO,379.8608776899201,14.045805848614767
a1,2,NNET,Original,163567.14588888286,174.89299568242384
a1,2,NNET,RO,470556.13807562785,384.365320021266
a1,2,NNET,Hardness-RO,79234.8006278467,161.08307161722777
a1,2,XGB,Original,215.51325950824835,9.261867506504059
a1,2,XGB,RO,300.98017938214656,11.613253744542599
a1,2,XGB,Hardness-RO,275.1700306085189,10.664798775790258
a1,2,RF,Original,173.65282842499994,8.383574999999999
a1,2,RF,RO,206.82590042500004,9.653775
a1,2,RF,Hardness-RO,176.86984569999998,8.897699999999997
a1,2,BAGGING,Original,198.0488275,8.80775
a1,2,BAGGING,RO,235.5816825,9.623249999999999
a1,2,BAGGING,Hardness-RO,164.82875750000002,8.78725
a1,3,SVR,Original,557.1358685771099,15.96189604742131
a1,3,SVR,RO,437.39955618874455,16.174329642581117
a1,3,SVR,Hardness-RO,548.7019779952886,15.88717133594948
a1,3,NNET,Original,448397.68641925754,204.7491316599105
a1,3,NNET,RO,785102.9120756373,283.3896519040874
a1,3,NNET,Hardness-RO,449871.34246837563,204.795105379819
a1,3,XGB,Original,419.7031517996933,14.256956424117089
a1,3,XGB,RO,448.16530813289717,13.06118903696537
a1,3,XGB,Hardness-RO,428.793506783045,13.98064091950655
a1,3,RF,Original,308.0646855250001,11.614625
a1,3,RF,RO,314.80416215,11.992149999999999
a1,3,RF,Hardness-RO,308.87656890000005,11.7446
a1,3,BAGGING,Original,319.0374800000001,10.993
a1,3,BAGGING,RO,312.56211249999996,12.041249999999998
a1,3,BAGGING,Hardness-RO,378.7119025,13.072750000000003
a1,4,SVR,Original,223.81084519687806,11.055076777869711
a1,4,SVR,RO,265.13789271209305,13.883983336239304
a1,4,SVR,Hardness-RO,224.25589055523,11.02232351222712
a1,4,NNET,Original,440446.2910847306,220.86931939167218
a1,4,NNET,RO,419794.93810887786,271.8469977206988
a1,4,NNET,Hardness-RO,945809.5182023054,261.6221992737556
a1,4,XGB,Original,229.33154264066098,10.116223703133754
a1,4,XGB,RO,193.45376467956973,9.297296727276764
a1,4,XGB,Hardness-RO,216.39192097484914,10.489760061869253
a1,4,RF,Original,142.28876707692316,8.321384615384614
a1,4,RF,RO,160.1966463589744,8.782410256410254
a1,4,RF,Hardness-RO,148.02376410256403,8.592564102564104
a1,4,BAGGING,Original,184.0566333333333,9.228974358974357
a1,4,BAGGING,RO,203.91341282051283,9.224358974358974
a1,4,BAGGING,Hardness-RO,186.93708717948715,8.914871794871791
a1,5,SVR,Original,720.7554881309131,16.206738415247983
a1,5,SVR,RO,549.2964703011046,18.027488546481358
a1,5,SVR,Hardness-RO,749.846804006537,16.511443084496054
a1,5,NNET,Original,353505.17185836955,216.04394548685494
a1,5,NNET,RO,145629.37116209054,205.39844048866016
a1,5,NNET,Hardness-RO,65606.71220000545,150.0440007512251
a1,5,XGB,Original,500.5943172804888,15.637222002714111
a1,5,XGB,RO,544.8180436791616,15.6638305364511
a1,5,XGB,Hardness-RO,429.47760315552443,14.276289394879955
a1,5,RF,Original,445.03460820512834,15.40174358974359
a1,5,RF,RO,480.71109299999995,15.626179487179483
a1,5,RF,Hardness-RO,439.75795302564103,15.453333333333331
a1,5,BAGGING,Original,461.0977589743589,14.916410256410257
a1,5,BAGGING,RO,522.6398743589745,16.38846153846154
a1,5,BAGGING,Hardness-RO,496.4333717948717,16.424358974358974
a2,1,SVR,Original,92.67689986070235,6.247591649358182
a2,1,SVR,RO,70.48844765904344,6.635307969897871
a2,1,SVR,Hardness-RO,96.88244673559348,6.385851601097466
a2,1,NNET,Original,4352306.484361678,672.5128148747377
a2,1,NNET,RO,7744555.463445952,899.8135618999142
a2,1,NNET,Hardness-RO,4991866.689974508,683.5448042082569
a2,1,XGB,Original,67.00842634699099,5.8542748628556724
a2,1,XGB,RO,95.1959638406775,5.958335299501195
